My name is;chamo–me
I think;Acho
butterfly;Borboleta
there is;Há
pens;Canetas
how many;Quantas
Can you;Pudes
repeat;repetir
no;Não
I didn't understand;Não percebi
There are 10 pens here;Aqui há dez canetas
here;Aqui
what is your name;Como te chames
how are you;Como estás
I am good;Eu estou bem
Where do you live;Onde vives
where;Onde
When is your birthday;Quando é o teu aniversário
(how) cool!;Que fixe
I think that yes;Eu acho que sim
car;carro
nice/cool;giro
what;Que
I have;Tehno
people;Pessoas
person;Pessoa
man;homem
woman;Mulher
children;Crianças
child (male);Menino
child (female);Menina
family;Familia
father;Pai
mother;Mãe
parents;Pais
son;Filho
daughter;Filha
children (in the family);Filhos
brother;Irmão
sister;Irmã
husbend;Marido
friend (male);Amigo
friend (female);Amiga
class;Aula
mine (for male);O meu
mine (for female);A minha
Yours (for male);O teu
Yours (for female);A tua
siblings;irmãos
(do) you have;Tens
How many siblings do you have;Quantos irmãos tens
see you later;Até logo
see you soon;Até à próxima
now;Agora
functions (verb);funciona
owner;Dono
I am 35 years old;Eu tenho trinta e cinco anos
question;pergunta
which;qual
@ (at sign);arroba
introduction;Apresentação
(I) live/reside;moro
with;com
on/in ??;num
apartment;apartamento
small;pequeno
but;mas
(I) like;gosto
to receive;receber
visitors;visitas
If;Se
(you) like;gostas
cities;cidades
big;grande
to know;conhecer
interesent;interessante
for;para
for you;para ti
with you;contigo
also;Também!
when;Quando
(you) come;vens
day;Dia
idea;ideia
I am;Estou
I see;Estou a ver
Or;Ou
only;só
dog;cãe
how nice;Que bom
teacher (female);professora
history;História
geography;Geografia
pleasure;prazer
(I) use;uso
From where;De onde
united states;Estados Unidos
from;dos
movie;filme
preferred;preferido
how to say;Como se diz
dog;cão
what is your name;como se chama
best;melhor
he;ele
until;até
you;tu
week;semana
today;hoje
tomorrow;amanhã
Friday;sexta–feira
Saturday;sábado
Sunday;Domigo
Monday;Segunda–feira
Tuesday;terça–feira
Wednesday;quarta–feira
Thursday;Quinta–feira
she;ela
we;Nós
you (plural);vocês
they (masculine);Eles
they (faminine);Elas
to be;ser
(i) work (also as a noun);trabalho
colleagues;colegas
good;bom
bad;mau
new (also: young person);novo
old (also: old person);velho
usual;comum
not usual;pouco comum
expesnive;caro
cheap;barato
beautiful;bonito
ugly;feio
easy;fácil
difficult;difícil
important;importante
not so important;pouco importante
interesting;interessante
boring / annoying;chato
how;como
house;casa
this (masculine);este
this (feminine);esta
a lot;muito
a little;um pouco
a bit;um bocado
(I) live;vivo
(i) speak;falo
(i) like;gosto
(i) need;preciso
close by;perto
far;longe
sugar;açúar
sandwiches;sanduiches
Shoes;Sapatos
More;Mais
Know;Sei
Number;Número
Number;Número
Police;Polícia
In this ;Neste/a
Exercise;Excercício
Exercise;Excercício
Exercise;Excercício
Also;Também
Exercise;Excercício
Also;Também
Students;Alunos
Already;já
street;a rua
(town) center;o centro
shop;a loja
shopping mall;o shopping / o centro commercial
station;a estação
train;o comboio
train station;a estação de comboio
restaurant;o restaurante
company;a empresa
school;a escola
bus stop;a paragem de autocarro
what is that?;o que é isto?
(you) know;sabes
(i) go;vou
(you) go;vais
(i) can;posso
(you) can;podes
(i) want;quero
(you) want;queres
suitcase;uma mala
enough;suficiente
thing;uma coisa
purse;a carteira
snack;o lanche
coat;casaco
cold;frio
to take;levar
say it!;Diz!
from here;daqui
surprise;surpresa
so;então
salary;salário
sandwiches;sandes
because / why;porque
to go;ir
screen;Ecrã
keyboard;Teclado
mouse;Rato
type;tipo
in that;nessa
working;a trabalhar
bag;o saco
to help;ajudar
living room;sala
office;escritório
famous;famoso/a
for sure;com certsa
toothpick;palito
joyfull;alegre
happy;felix
on top / above;em cima
sad;triste
tired;cansado
cold;com frio
warm;com calor
hungry;com fome
thirsty;com sede
minus / less;menos
give or take;mais ou menos
rice;arroz
salad;salada
times (2 X 7);vezes
future;futuro
similar;parecida
music;música
delay;demora
prepare;preparar
married;casado
to buy;comprar
for;para
to sleep;dormir
language;língua
a little;bocadinho
how much;quanto
to eat;comer
allow me;deixa-me
to see;ver
address;morada
here it is;aqui tem
time;tempo
how long it takes?;quanto tempo demora?
driver;Motorista
first;primeira/o
for the first time;pela primeira vez
time/turn;vez
adventures;aventuras
place;lugar
proffession;profissão
lawyer;advogado
sriouslly;a sério
still;ainda
to study;estudar
some;uns / algumas
site;sítio
exactly;Exatamente
beginning;início
quarter;um quarto
half;meia
morning;a manhã
afternoon;a tarde
night;a noite
hour;hora
minute;minuto
noon;meio-dia
midnight;meia-noita
almost;quase
appear;aparece
listen;ouvir
finally;finalmente
money;dinheiro
clock;relógio
back (to);de volta
another;outra
too much;demais
to arrive;chegar
excellent / great;Ótimo
elevator;o elevador
well/because;pois
without;sem
welcome;Bem-vinda
reception;recepção
kitchen;cozinha
alright;está bem
refrigirator;frigorífico
to write;escrever
during;durante
beside;ao lado
bathroom;casa de banho
bedroom;quarto
garage;garagem
any;algum/a
something;alguma coise
none;nenhum
sofa;o sofá
table;a mesa
building;o prédio
chair;a cadeira
air conditioning;o ar condicionado
door;a porta
floor;o chão
wardrobe;o armário
stairs;as escadas
computer;o computador
window;a janela
mobile phone;telemóvel
about;sobre
over here;Cá
problem;problema
rich;rico
drawer;gaveta
box;caixa
frog;rã
toad;sapo
blue;azul
green;verde
rat;ratazana
to get out;sair
to call (phone);ligar
doctor;médico
to collect / to bring (from somewhere);buscar
medication;medicamento
pharmacy;farmácia
present;presente
nothing;nada
to do;fazer
What's the time?;Que horas são?
at what time … ?;A que horas … ?
at … (time);às …
side;lado
under;de baixo
behind;atrás
in front;em frente
